1;Ropa para dama;1;ropa-para-dama
2;Ropa para Hombre;1;ropa-para-hombre
3;Ropa deportiva;1;ropa-deportiva
4;Ropa Infantil;1;ropa-Infantil
5;Calzado para dama;2;calzado-para-dama
6;Calzado para hombre;2;calzado-para-hombre
7;Calzado deportivo;2;calzado-deportivo
8;Calzado infantil;2;calzado-infantil
9;Bolsos ;3;bolsos
10;Relojes;3;relojes
11;Pulseras;3;pulseras
12;collares;3;collares
13;Gafas de sol;3;gafas-de-sol
14;Telefono Movil;4;telefonos-movil
15;Tabletas Electronicas;4;tabletas-electronicas
16;Computadoras;4;computadoras
17;Auriculares;4;auriculares
18;Desarrollo Web;5;desarrollo-web
19;Aplicaciones Moviles;5;aplicaciones-moviles
20;Diseño Grafico;5;diseño-grafico
21;Marketing Digital;5;marketing-digital
